branch_id,branch_name,mail_address_1,mail_city,mail_state,mail_zip_code,mail_country
1791,RECO - LOUISVILLE,3419 Bashford Ave Ct,Louisville     ,KY,40218      ,US
1905,C-B CHICAGO,N173 W21490 Northwes,Jackson        ,WI,53037      ,US
7545,US - NY - Hauppauge,500 Prime Pl        ,Hauppauge      ,NY,11788      ,US
7848,ORLANDO FL - UTILITY,5971 Pershing Ave   ,Orlando        ,FL,32822      ,US
1115,CONSTRUCTION NEW ENGLAND,35 Otis St          ,Westboro       ,MA,01581      ,US
5687,US - TX - Irving - 9400 Royal Lane DALLAS TX,9400 N Royal Ln     ,Irving         ,TX,75063      ,US
7692,AUSTIN TX - PSI,2003 Rutland Dr     ,Austin         ,TX,78758      ,US
6440,POCATELLO ID,2815 Garrett Way    ,Pocatello      ,ID,83201      ,US
3570,US - Construction Georgia/AL,724 Pine Ave        ,Albany         ,GA,31701      ,US
2210,MONTREAL QC,130 boul. Brunswick ,Pointe-Claire  ,QC,H9R 5P9    ,CN
5571,DEER PARK TX,1105 Howard Dr      ,Deer Park      ,TX,77536      ,US
3916,RS ELEC. - LIVONIA - AUTO,34178 Industrial Rd ,Livonia        ,MI,48150      ,US
7802,"SOUTH BRUNSWICK, NJ",151 Herrod Blvd     ,Dayton         ,NJ,08810      ,US
7498,M/S GROUP IMPORT DIST CENTER,353 N 44th Ave      ,Phoenix        ,AZ,85043      ,US
6112,KENAI AK,53912 Commerce Ave  ,Kenai          ,AK,99611      ,US
2588,STONE EAGLE (WESNET),385 Mackenzie Blvd  ,Fort McMurray  ,AB,T9H 5E2    ,CN
7858,GREENFIELD IN - DUKE,2718 Jannetides Blvd,Greenfield     ,IN,46140      ,US
1339,ROCHESTER NY,1525 Mt Read Blvd   ,Rochester      ,NY,14606      ,US
2665,KAMLOOPS BC,1802 Versatile DR   ,Kamloops       ,BC,V1S 1S2    ,CN
7696,DESCO - NORTH LITTLE ROCK AR,2000 E Washington Av,North Little Ro,AR,72114      ,US
1915,C-B JOHNSON CITY TN,524 Suncrest Dr     ,Johnson City   ,TN,37615      ,US
