Year_Qtr,Ohm_ID,Cust_ID,Cust_Key,Rep,State,Category,Revenue
2023_Q3,9155,1878,Vital Energy - CA - 1,Genki,CA,MINI,502.15
2023_Q4,9155,1878,Vital Energy - CA - 1,Genki,CA,MINI,132.8
2024_Q3,9155,1878,Vital Energy - CA - 1,Genki,CA,MINI,45.65
2024_Q4,9155,1878,Vital Energy - CA - 1,Genki,CA,MINI,62.25
2025_Q1,9155,1878,Vital Energy - CA - 1,Genki,CA,MINI,166
2025_Q4,9155,1878,Vital Energy - CA - 1,Genki,CA,MINI,144.32
2023_Q4,45279,2403,"Visionary Solar Group, Llc - N",RyanW,NY,MINI,16.6
2023_Q2,1282,1749,Vision Solar/Cod - NJ - 1,RyanW,NJ,MINI,4.15
2022_Q2,1282,2451,Vision Solar Llc - TX - 4,Genki,TX,MINI,4150
2022_Q4,1282,2451,Vision Solar Llc - TX - 4,Genki,TX,MINI,3320
2023_Q1,1282,2451,Vision Solar Llc - TX - 4,Genki,TX,MINI,1328
2022_Q1,1282,2452,Vision Solar Llc - NJ - 4,RyanW,NJ,MINI,14110
2022_Q2,1282,2452,Vision Solar Llc - NJ - 4,RyanW,NJ,MINI,16766
2022_Q3,1282,2452,Vision Solar Llc - NJ - 4,RyanW,NJ,MINI,10956
2022_Q4,1282,2452,Vision Solar Llc - NJ - 4,RyanW,NJ,MINI,11288
2022_Q1,1282,2453,Vision Solar Llc - MA - 4,RyanW,MA,MINI,9462
2022_Q2,1282,2453,Vision Solar Llc - MA - 4,RyanW,MA,MINI,10292
2022_Q3,1282,2453,Vision Solar Llc - MA - 4,RyanW,MA,MINI,2656
2022_Q4,1282,2453,Vision Solar Llc - MA - 4,RyanW,MA,MINI,5976
2023_Q1,1282,2453,Vision Solar Llc - MA - 4,RyanW,MA,MINI,3320
2022_Q4,1282,2454,Vision Solar Llc - FL - 4,RyanW,FL,MINI,1660
2023_Q1,1282,2454,Vision Solar Llc - FL - 4,RyanW,FL,MINI,3984
2022_Q1,1282,2455,Vision Solar Llc - CT - 4,RyanW,CT,MINI,4897
2022_Q2,1282,2455,Vision Solar Llc - CT - 4,RyanW,CT,MINI,8300
2022_Q3,1282,2455,Vision Solar Llc - CT - 4,RyanW,CT,MINI,3984
2022_Q4,1282,2455,Vision Solar Llc - CT - 4,RyanW,CT,MINI,3735
2023_Q1,1282,2455,Vision Solar Llc - CT - 4,RyanW,CT,MINI,1992
2022_Q2,1282,682,Vision Solar - TX - 1,Genki,TX,MINI,2490
2022_Q3,1282,682,Vision Solar - TX - 1,Genki,TX,MINI,1660
2022_Q4,1282,682,Vision Solar - TX - 1,Genki,TX,MINI,5644
2023_Q3,1282,682,Vision Solar - TX - 1,Genki,TX,MINI,332
2023_Q2,1282,2010,Vision Solar - NJ - 3,RyanW,NJ,MINI,777.6
2023_Q3,1282,2010,Vision Solar - NJ - 3,RyanW,NJ,MINI,1555.2
2022_Q1,1282,408,Vision Solar - NJ - 1,RyanW,NJ,MINI,4150
2022_Q4,1282,408,Vision Solar - NJ - 1,RyanW,NJ,MINI,3320
2022_Q1,1282,373,Vision Solar - MA - 1,RyanW,MA,MINI,3320
2022_Q2,1282,373,Vision Solar - MA - 1,RyanW,MA,MINI,1660
2022_Q3,1282,373,Vision Solar - MA - 1,RyanW,MA,MINI,5976
2023_Q3,1282,373,Vision Solar - MA - 1,RyanW,MA,MINI,996
2023_Q4,1282,373,Vision Solar - MA - 1,RyanW,MA,MINI,830
2022_Q1,1282,99,Vision Solar - FL - 1,RyanW,FL,MINI,23157
2022_Q2,1282,99,Vision Solar - FL - 1,RyanW,FL,MINI,41583
2022_Q3,1282,99,Vision Solar - FL - 1,RyanW,FL,MINI,21248
2022_Q4,1282,99,Vision Solar - FL - 1,RyanW,FL,MINI,14276
2023_Q2,1282,99,Vision Solar - FL - 1,RyanW,FL,MINI,2573
2023_Q3,1282,99,Vision Solar - FL - 1,RyanW,FL,MINI,1992
2023_Q4,1282,99,Vision Solar - FL - 1,RyanW,FL,MINI,166
2022_Q3,1282,1080,Vision Solar - CT - 1,RyanW,CT,MINI,996
2022_Q4,1282,1080,Vision Solar - CT - 1,RyanW,CT,MINI,2656
2023_Q2,1282,1080,Vision Solar - CT - 1,RyanW,CT,MINI,664
2023_Q3,1282,1080,Vision Solar - CT - 1,RyanW,CT,MINI,415
2022_Q3,32749,1097,Visalia - Ced - CA - 1,Genki,CA,MINI,83
2023_Q3,32749,1097,Visalia - Ced - CA - 1,Genki,CA,MINI,996
2025_Q1,,3155,Vikta Energy - TX - 1,Genki,TX,MINI,180.4
2022_Q2,499,576,Victory Solar Llc - TX - 1,Genki,TX,MINI,1826
2022_Q2,499,581,Victory Solar - TX - 1,Genki,TX,MINI,323.7
2025_Q1,,3156,"Victoria, Bc (2640) - BC - 8",Guy,BC,MINI,5141.4
2025_Q2,,3156,"Victoria, Bc (2640) - BC - 8",Guy,BC,MINI,1443.2
2025_Q3,,3156,"Victoria, Bc (2640) - BC - 8",Guy,BC,MINI,1262.8
2024_Q3,N/A,2849,Victor Rebolla - CA - 1,Genki,CA,MINI,180.4
2025_Q2,,3334,Vgs Solar - WA - 1,Genki,WA,MINI,315.7
2025_Q3,,3334,Vgs Solar - WA - 1,Genki,WA,MINI,1637.13
2025_Q4,,3334,Vgs Solar - WA - 1,Genki,WA,MINI,405.9
2023_Q4,N/A,2391,Vertical Ascent Energy & Elect,Genki,CO,MINI,18.04
2023_Q4,8091,2456,Venture Home Solar Llc* - ME -,RyanW,ME,MINI,664
2024_Q1,8091,2456,Venture Home Solar Llc* - ME -,RyanW,ME,MINI,664
2024_Q2,8091,2456,Venture Home Solar Llc* - ME -,RyanW,ME,MINI,1245
2024_Q3,8091,2456,Venture Home Solar Llc* - ME -,RyanW,ME,MINI,166
2022_Q3,8091,2457,Venture Home Solar Llc* - MA -,RyanW,MA,MINI,498
2022_Q4,8091,2457,Venture Home Solar Llc* - MA -,RyanW,MA,MINI,415
2023_Q1,8091,2457,Venture Home Solar Llc* - MA -,RyanW,MA,MINI,1079
2023_Q2,8091,2457,Venture Home Solar Llc* - MA -,RyanW,MA,MINI,664
2023_Q3,8091,2457,Venture Home Solar Llc* - MA -,RyanW,MA,MINI,249
