Contractor_Name,State,RT_POS_Customer,Qtrly_Avg_Kw,Qtrly_Avg_PC
Trombino Electric,AZ,,39.488716,4.87515
Solar Energy Consulting LLC,AZ,TRUE,58.5759752222222,7.42780288888889
Energy Solution Providers LLC,AZ,,18.6610935,2.0168425
Sabino Solar,AZ,,37.528568,5.776531
Solrac Solar And Electric Llc,AZ,,18.225721,2.2060255
Monster Framing LLC,AZ,,37.1315212,3.5623296
Quality Contractor Services Inc,AZ,,504.760295272727,44.1860874545455
Eco Spark Energy LLC,AZ,,14.2153696666667,2.293842
The Green Energy Team Llc,AZ,,15.634023,2.3072785
Liggett Electrical Services LLC,AZ,,42.6754955,4.832097
Arizona State Solar LLC,AZ,,11.77871525,1.54684175
Big N Contracting,AZ,,7.48516,1.1496185
Simple Solar,AZ,TRUE,14.878074,2.284378
Westwind Solar Electric Inc,AZ,,11.6928008571429,1.81087342857143
Obodo Energy Partners LLC,AZ,,19.469367,1.0072985
Simply Green Solutions,AZ,,14.3073995,1.07254
Hunny Energy LLC,AZ,,33.3393602,2.616433
Solgen Power,AZ,TRUE,155.7028963,23.3371067
Solean Energy,AZ,,91.1815611111111,6.46986711111111
S3 Energy Group LLC,AZ,,23.0378825,3.441731
TFS  Solar,AZ,,65.6138686,10.0752796
Angel Solar Inc,AZ,,21.465073,1.006098
Specified Electrical Contractors Inc,AZ,,10.610185,1.006526
TM Solar Llc,AZ,,20.802201,2.012752
Stewart Electric LLC,AZ,TRUE,20.606252,1.006834
Greenspire,AZ,TRUE,27.1449745,3.77771775
Ignite Energy LLC,AZ,,20.194741,2.00982
SAI Group,AZ,,20.00457,1.011259
"Teracom Services, LLC",AZ,,19.452214,1.002094
Esmay Electric,AZ,,40.3475153333333,4.95640266666667
Tomik Electric LLC,AZ,,22.7619315,2.1230809
Monster Power LLC,AZ,,18.274045,1.007874
Peterson Electric and Solar LLC,AZ,,10.3416933333333,1.51074033333333
Solar Covered Parking LLC,AZ,,38.2731565714286,2.31319428571429
Gurr Brothers Construction,AZ,TRUE,34.6574685,2.9122533
Smooth Solar Services LLC,AZ,,8.103049,1.006986
Gawan Enterprise Llc,AZ,,16.169281,1.006098
Solcius LLC,AZ,TRUE,167.645267222222,22.5223544444445
Adobe Contracting LLC,AZ,,13.4681525,1.006639
First Electric Llc,AZ,,14.946034,2.300178
Sunstate Power and Solar Solutions LLC,AZ,TRUE,10.6148605714286,1.62983842857143
Agave Design and Construction Inc,AZ,,8.914184,1.369549
Empire Renewable Energy,AZ,,37.394194,2.43185566666667
National First Response Solar,AZ,,7.350458,1.0736735
Independent Solar Electric,AZ,,13.616288,1.006834
Arc Unlimited Llc,AZ,,13.577455,1.012821
Pure Energy (TX),AZ,TRUE,99.952587,9.4510628
CNR Electric LLC,AZ,,11.7466315,1.0067285
Erus Energy,AZ,TRUE,675.3345868,78.3595442
BDR Electric,AZ,,22.5726075,2.762609
Big Star Builders Inc,AZ,,101.497955777778,13.8993977777778
Arcadia Solar LLC,AZ,TRUE,299.0963071,37.1040851
Tri State Solar & Wind Corp,AZ,,12,1
FreeVolt USA,AZ,TRUE,11.969808,1.006834
Copper State Energy,AZ,,57.68501725,7.5472415
Apollo Electric ,AZ,,11.571918,1.013514
"Add On Electric, Inc.",AZ,TRUE,13.485948,1.0091155
Complete Solar,AZ,TRUE,14.5265693333333,1.007604
Edlab LLC,AZ,,10.829607,1.013514
"Green Earth Energy & Environmental, Inc.",AZ,,35.5887878571429,1.87792428571429
JIT Platforms,AZ,,22.2993168333333,1.6738605
Overland Contracting,AZ,,5.191168,1.010174
