Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Cod Sales,PA,161,5944,1,RyanW,46.09,86.23,,197.6,43,26.91,,,18.25,,90.2,34.4,90.2,101.6,106.7,,841.18
Ced - Salt Lake City,UT,160,120,1,Genki,777.6,,,,,,,,,,,,,,,,777.6
Ced - Albany,NY,159,9106,1,RyanW,160,,,,,,,,,,,,,,,,160
Vision Solar Llc,MA,2453,0,4,RyanW,11113,12028,3876,6406,3320,,,,,,,,,,,,36743
Valley Strea,NY,2621,0,5,RyanW,37800,1052.77,5467,,1460,,2090,464,892.5,315,1872,544,430,,,,52387.27
Speir Innovations Llc,TX,188,236,1,Genki,464,2018.4,537,,,,,,,,,,,,,,3019.4
South Carolina,SC,187,224,1,RyanW,423.75,,,,,,,,,,,,,,,,423.75
Solar Sme,GA,186,236,1,RyanW,2354.94,989.59,1937.53,2859.57,2199.19,,,,,,,,,,,,10340.82
Pm & M Elecric Dba Titan Solar,TX,185,1987,1,Genki,3320,,3320,2656,1826,664,415,332,992.2,,,,,,,,13525.2
New Jersey Clean Energy Soluti,NJ,184,5887,1,RyanW,44.95,,,,,,,,,,,,,,,,44.95
Nathan Wood General Contractor,HI,183,9185,1,Genki,996.8,3056.4,1953,,,1458,,,,1274.5,,415,,664,,,9817.7
Michigan Solar And Roofing Llc,IN,182,1045,1,Guy,2942.48,,,,,,,,,,,,,,,,2942.48
Mclain D.b.a Solarworks Gj,CO,181,2685,1,Genki,120.28,74.3,,111.45,,,165.97,,,,,,,,,,472
Green Brilliance,DC,180,9106,1,RyanW,1287.6,605.9,788.5,664,705.5,,,,,,,568.26,,,,,4619.76
Excel Home Solar Inc,FL,179,8018,1,RyanW,670.2,5909.6,6213.7,,,,,,,,,,,,,,12793.5
Ecovole,OK,178,3584,1,Guy,638.94,,1246,,,,,,,,,,,,,,1884.94
Ced - Wallingford,CT,177,9106,1,RyanW,1076,,3749.58,,,,,,,,,,,,,,4825.58
"Castle Energy, Llc",NJ,176,5887,1,RyanW,619.96,1144.48,688.87,244.43,885.72,678.68,274.04,165.38,,,,,,,,,4701.56
Synergy Solar,FL,201,5621,1,RyanW,1781.4,4341.26,10201.2,14639.32,11831,2255,3901,9716.6,4034.4,1197.2,2958.4,,,,,,66856.78
