Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Solarlogix,ME,94,4422,1,RyanW,2850.4,14648,8772,6138,,,,,,,,,,,,,32408.4
Solar Specialists Inc,FL,93,8018,1,RyanW,5615.4,8124.8,6539,1858.8,,,,,,,,,,,,,22138
Solar Sme,TX,92,236,1,Genki,11189.08,11892.91,17786.65,37348.85,,,,,,,,,,,,,78217.49
Pm&M Electric Dba : Titan Sola,NV,91,4090,1,Genki,583.2,,,,,,,,,,,,,,,,583.2
Photon Brothers,CA,90,1875,1,Genki,217.65,,,,,,,,,,,,,,,,217.65
Palmetto Solar Dba Palmetto Cl,FL,89,5621,1,RyanW,421.2,,,,,,,,,,,,,,,,421.2
Palmetto Solar,MD,88,9106,1,RyanW,329.84,,,,,,,,,,,,,,,,329.84
Modern Concepts Construction L,FL,87,8018,1,RyanW,3644.16,6856.18,10096.8,3870,,,,,,,,,,,,,24467.14
"Lumio Hx, Inc.",FL,86,8018,1,RyanW,1310.6,1489.6,2960.2,4291.6,,,,,,,,,,,,,10052
Lotus Energy & Solar,FL,85,5621,1,RyanW,1373.15,627.2,1166.3,564,,,,,,,,,,,,,3730.65
Efficient Home Services,FL,84,8018,1,RyanW,659,,,,,,,,,,,,,,,,659
Cod Sales,FL,83,8018,1,RyanW,,20356.92,13972.52,6593.91,,,,,,,,,,,,,40923.35
American Design & Build Ltd,MD,82,9106,1,RyanW,29432.8,39440,37448,52590,,,,,,,,,,,,,158910.8
Vision Solar Llc,NJ,2452,0,4,RyanW,14471.8,17126,12391,12293.8,,,,,,,,,,,,,56282.6
Vision Solar Llc,CT,2455,0,4,RyanW,5386,10240,4414,3735,,,,,,,,,,,,,23775
Sun Talk Solar,CO,109,1875,1,Genki,456.05,453.94,521.83,435.49,,,,,,,,,,,,,1867.31
Solera/ Gardner Solar,MO,108,3584,1,Guy,540,,,,,,,,,,,,,,,,540
"Solcius, Llc",CA,107,6435,1,Genki,4302.22,6232,8330,3602.4,,,,,,,,,,,,,22466.62
Solcius,TX,106,1987,1,Genki,11708,11136.4,8183.65,14782.8,,,,,,,,,,,,,45810.85
Solar Sme,MD,105,236,1,RyanW,3214.68,2479.54,1523.77,3401.58,,,,,,,,,,,,,10619.57
Seal Solar,AR,104,4187,1,Guy,860,,8360,430,,,,,,,,,,,,,9650
Reconnect Clean Energy Llc,CO,103,2685,1,Genki,641.95,474.7,964.2,,,,,,,,,,,,,,2080.85
Meraki Solutions,FL,102,5621,1,RyanW,12020,45584,19447,9668,,,,,,,,,,,,,86719
Lumio Hx Inc.,FL,101,5621,1,RyanW,5834.8,4453.8,5815.8,6339.5,,,,,,,,,,,,,22443.9
Cod Sales,NY,100,120,1,RyanW,332,955.28,,1661.94,,,,,,,,,,,,,2949.22
Vanguard Solar Services,CO,122,1875,1,Genki,260.34,,157.32,,,,,,,,,,,,,,417.66
Sunrgy/Cod,TX,121,239,1,Genki,5870,,,,,,,,,,,,,,,,5870
Sunpower,NY,120,4984,1,RyanW,166,909.4,6106.6,1660,,,,,,,,,,,,,8842
Solcius Llc,CO,119,1875,1,Genki,2008.35,720.1,2817.65,2225.8,,,,,,,,,,,,,7771.9
Pine Tree Solar,ME,118,4422,1,RyanW,2347.22,6123.2,5173.83,5783.15,,,,,,,,,,,,,19427.4
O3 Home Solar,TX,117,237,1,Genki,544,934.5,4929.1,3444.73,,,,,,,,,,,,,9852.33
New Jersey Sun Tech,NY,116,5887,1,RyanW,0.36,,,,,,,,,,,,,,,,0.36
Kw Solar Solutions,MD,115,5887,1,RyanW,7196.82,16896.08,15012.63,18650.84,,,,,,,,,,,,,57756.37
Hudson River Solar,NY,114,120,1,RyanW,1304.98,4256.32,3337.13,2897.06,,,,,,,,,,,,,11795.49
"Greenready, Llc",FL,113,8018,1,RyanW,618.09,2.88,,,,,,,,,,,,,,,620.97
Devlin Contracting & Maintenan,MA,112,224,1,RyanW,2419,1446.6,2834.2,2049.6,,,,,,,,,,,,,8749.4
Cod Sales,NJ,111,5887,1,RyanW,110.27,2958.47,1659.4,61.4,,,,,,,,,,,,,4789.54
Az Sun-Ensemble-Dividend,AZ,110,8756,1,Genki,304,,,,,,,,,,,,,,,,304
V3 Electric Inc.,CA,135,6435,1,Genki,8258,4870,7067.18,33025.88,,,,,,,,,,,,,53221.06
The Solar Guys,MO,134,3584,1,Guy,97.2,,36,,,,,,,,,,,,,,133.2
Sunlight Enterprises Inc,FL,133,5621,1,RyanW,1563.49,9916.36,6520.76,36,,,,,,,,,,,,,18036.61
"Strongbuilt, Llc",NM,132,148,1,Genki,129,,43,,,,,,,,,,,,,,172
Streamline Energy Llc,TX,131,236,1,Genki,12873.6,24191.69,24631.65,22461.66,,,,,,,,,,,,,84158.6
Stay Cool Air Cond & Heating L,FL,130,8018,1,RyanW,953.1,,,,,,,,,,,,,,,,953.1
Southern Solar,TX,129,237,1,Genki,,10656.2,11215.85,19908.08,,,,,,,,,,,,,41780.13
Luz Energy Corporation,NM,128,148,1,Genki,376.5,1905,2025,1519.85,,,,,,,,,,,,,5826.35
Key Solar Llc,MA,2497,0,4,RyanW,1627,,,,,,,,,,,,,,,,1627
Freedom Solar Energy,FL,127,8018,1,RyanW,1035.7,12.96,,,,,,,,,,,,,,,1048.66
Cod Account,CO,126,1875,1,Genki,43,149.46,319.4,34.1,,,,,,,,,,,,,545.96
Cleantap Energy,ME,125,4422,1,RyanW,1390.82,3042.3,4650.5,3420,,,,,,,,,,,,,12503.62
Bruem Energy Llc,MD,124,9106,1,RyanW,3387.72,3451.26,,100.2,,,,,,,,,,,,,6939.18
Boston Solar,MA,123,224,1,RyanW,430,,300,,,,,,,,,,,,,,730
Berlin 09,NJ,2635,0,5,RyanW,1245,1804,,622.5,,,,,,,,,,,,,3671.5
Sunpro Okc,OK,151,5364,1,Guy,310.56,,,,,,,,,,,,,,,,310.56
Sunny Mac Llc/Cod,DE,150,5887,1,RyanW,4203.02,,,,,,,,,,,,,,,,4203.02
Sundial Solar Services Llc,FL,149,5621,1,RyanW,223.4,,,124.6,,,,,,,,,,,,,348
Sugar Hollow Solar,NC,148,1132,1,RyanW,1246,,180,,,,,,,,,,,,,,1426
Solcius Llc,WI,147,4950,1,Guy,996,,,,,,,,,,,,,,,,996
Solar Bear,FL,146,8618,1,RyanW,4186.16,2638.5,823.72,266.6,,,,,,,,,,,,,7914.98
Smart Energy Solar,FL,145,8618,1,RyanW,3506.2,,,,,,,,,,,,,,,,3506.2
Linden 02,NJ,2626,0,5,RyanW,39.6,,2229,860,,,,,,,,,,,,,3128.6
J & D Solar Consultants Group ,FL,144,8018,1,RyanW,1916.2,,,563.2,,,,,,,,,,,,,2479.4
Geoscape Solar Llc,NJ,143,5887,1,RyanW,432.34,108.93,36.79,283.01,,,,,,,,,,,,,861.07
Enlightened Solar,FL,142,8618,1,RyanW,1614,2779.9,4510.04,3388.51,,,,,,,,,,,,,12292.45
Cross Atlantic Solar,FL,141,4560,1,RyanW,12.9,,166,1353,,,,,,,,,,,,,1531.9
Cod-Getsolarize,TX,140,1987,1,Genki,1998.55,83,139.75,,,,,,,,,,,,,,2221.3
Cod-Day Star Solar Roofing & C,TX,139,1987,1,Genki,2856.14,3579.85,2413.2,1448,,,,,,,,,,,,,10297.19
California Solar Elec Co,CA,138,6552,1,Genki,68.8,,,,,,,,,,,,,,,,68.8
Big Dog Solar,ID,137,756,1,Genki,1749.6,1166.4,,,,,,,,,,,,,,,2916
1 Solar,CO,136,1875,1,Genki,140.86,146.9,33.2,316.55,,,,,,,,,,,,,637.51
Tron Solar Llc,IN,158,1045,1,Guy,328,544,739,,,,,,,,,,,,,,1611
Tron Solar,IL,157,4950,1,Guy,2389.75,,,,,,,,,,,,,,,,2389.75
Titan Solar,CO,156,1875,1,Genki,428.25,,,43,,,,,,,,,,,,,471.25
"Kasey Contracting Co, Inc",FL,155,8018,1,RyanW,454,,,,,,,,,,,,,,,,454
Florida Power Services,FL,154,8018,1,RyanW,2969.37,4365.8,5523.8,3087.6,,,,,,,,,,,,,15946.57
Empire Solar Solutions,NY,153,1670,1,RyanW,8240,7690.4,24245,34173.2,,,,,,,,,,,,,74348.6
Dba Solar Kings,TX,152,1987,1,Genki,2428.1,2875.9,629.3,313.6,,,,,,,,,,,,,6246.9
Vector Energy Dba Fusion Power,AZ,175,8756,1,Genki,2580,,,860,,,,,,,,,,,,,3440
Sunpro Dba Marc Jones Construc,IL,174,3584,1,Guy,70.8,,,,,,,,,,,,,,,,70.8
Sunblue Energy,NY,173,1670,1,RyanW,493,487.2,,1032.2,,,,,,,,,,,,,2012.4
Solcius,AZ,172,8756,1,Genki,2750.2,1094,72,1804,,,,,,,,,,,,,5720.2
Solar Source,FL,171,5621,1,RyanW,3340.8,2353.6,2595.2,,,,,,,,,,,,,,8289.6
Smart Energy Solar,TX,170,1987,1,Genki,43,384,219.2,673.2,,,,,,,,,,,,,1319.4
Shinnova Solar,MO,169,3584,1,Guy,709,266.4,,,,,,,,,,,,,,,975.4
Rising Sun,OK,168,3584,1,Guy,623,,,,,,,,,,,,,,,,623
Rayah Power Intergration Corp,MA,167,224,1,RyanW,962.4,232.84,,,,,,,,,,,,,,,1195.24
Powur Pbc,FL,166,5621,1,RyanW,631.4,,1070.7,344,,,,,,,,,,,,,2046.1
Palmetto Solar,NC,165,6058,1,RyanW,508.52,,,,,,,,,,,,,,,,508.52
High Noon Solar,CO,164,2685,1,Genki,360.8,76.4,130.1,121.8,,,,,,,,,,,,,689.1
Flemingto 12,NJ,2629,0,5,RyanW,166,,,436.1,,,,,,,,,,,,,602.1
"Cod-Soltech Energy, Llc",TX,163,1987,1,Genki,1492.81,180.71,301,414,,,,,,,,,,,,,2388.52
Cod-Equisolar,AZ,162,8756,1,Genki,1168.99,,,,,,,,,,,,,,,,1168.99
Cod Sales,PA,161,5944,1,RyanW,46.09,86.23,,197.6,,,,,,,,,,,,,329.92
Ced - Salt Lake City,UT,160,120,1,Genki,777.6,,,,,,,,,,,,,,,,777.6
Ced - Albany,NY,159,9106,1,RyanW,160,,,,,,,,,,,,,,,,160
Vision Solar Llc,MA,2453,0,4,RyanW,11113,12028,3876,6406,,,,,,,,,,,,,33423
Valley Strea,NY,2621,0,5,RyanW,37800,1052.77,5467,,,,,,,,,,,,,,44319.77
Speir Innovations Llc,TX,188,236,1,Genki,464,2018.4,537,,,,,,,,,,,,,,3019.4
South Carolina,SC,187,224,1,RyanW,423.75,,,,,,,,,,,,,,,,423.75
Solar Sme,GA,186,236,1,RyanW,2354.94,989.59,1937.53,2859.57,,,,,,,,,,,,,8141.63
Pm & M Elecric Dba Titan Solar,TX,185,1987,1,Genki,3320,,3320,2656,,,,,,,,,,,,,9296
New Jersey Clean Energy Soluti,NJ,184,5887,1,RyanW,44.95,,,,,,,,,,,,,,,,44.95
Nathan Wood General Contractor,HI,183,9185,1,Genki,996.8,3056.4,1953,,,,,,,,,,,,,,6006.2
Michigan Solar And Roofing Llc,IN,182,1045,1,Guy,2942.48,,,,,,,,,,,,,,,,2942.48
Mclain D.b.a Solarworks Gj,CO,181,2685,1,Genki,120.28,74.3,,111.45,,,,,,,,,,,,,306.03
Green Brilliance,DC,180,9106,1,RyanW,1287.6,605.9,788.5,664,,,,,,,,,,,,,3346
Excel Home Solar Inc,FL,179,8018,1,RyanW,670.2,5909.6,6213.7,,,,,,,,,,,,,,12793.5
Ecovole,OK,178,3584,1,Guy,638.94,,1246,,,,,,,,,,,,,,1884.94
Ced - Wallingford,CT,177,9106,1,RyanW,1076,,3749.58,,,,,,,,,,,,,,4825.58
"Castle Energy, Llc",NJ,176,5887,1,RyanW,619.96,1144.48,688.87,244.43,,,,,,,,,,,,,2697.74
Synergy Solar,FL,201,5621,1,RyanW,1781.4,4341.26,10201.2,14639.32,,,,,,,,,,,,,30963.18
Solaria Energy Solutions,FL,200,5621,1,RyanW,1615.82,510.25,473,86,,,,,,,,,,,,,2685.07
Profesional Electrical Service,FL,199,5621,1,RyanW,2393.24,,,,,,,,,,,,,,,,2393.24
Onsite Energy,MT,198,4639,1,Genki,1209.6,2204,928,498,,,,,,,,,,,,,4839.6
