Year_Qtr,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Customer,State,Cust_ID,PC #
2024_Q4,,,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2025_Q1,,,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2025_Q2,,,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2025_Q3,,,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2025_Q4,,,,,,,,,,,,,,,,,Pro Star Energy Llc*,MA,2487,224
2022_Q1,5411.65,,,,,,,,,,,,,,,,Photon Brothers,CO,15,1132
2022_Q2,,13196.63,,,,,,,,,,,,,,,Photon Brothers,CO,15,1132
2022_Q3,,,9933.8,,,,,,,,,,,,,,Photon Brothers,CO,15,1132
2022_Q4,,,,11081,,,,,,,,,,,,,Photon Brothers,CO,15,1132
2023_Q1,,,,,17238.8,,,,,,,,,,,,Photon Brothers,CO,15,1132
2023_Q2,,,,,,14971.53,,,,,,,,,,,Photon Brothers,CO,15,1132
2023_Q3,,,,,,,7815.75,,,,,,,,,,Photon Brothers,CO,15,1132
2023_Q4,,,,,,,,16716.55,,,,,,,,,Photon Brothers,CO,15,1132
2024_Q1,,,,,,,,,4606.32,,,,,,,,Photon Brothers,CO,15,1132
2024_Q2,,,,,,,,,,1488.5,,,,,,,Photon Brothers,CO,15,1132
2024_Q3,,,,,,,,,,,101.63,,,,,,Photon Brothers,CO,15,1132
2024_Q4,,,,,,,,,,,,159.97,,,,,Photon Brothers,CO,15,1132
2025_Q1,,,,,,,,,,,,,175.42,,,,Photon Brothers,CO,15,1132
2025_Q2,,,,,,,,,,,,,,216.26,,,Photon Brothers,CO,15,1132
2025_Q3,,,,,,,,,,,,,,,112.22,,Photon Brothers,CO,15,1132
2025_Q4,,,,,,,,,,,,,,,,475.1,Photon Brothers,CO,15,1132
2022_Q1,1074,,,,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2022_Q2,,2370.8,,,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2022_Q3,,,2209.4,,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2022_Q4,,,,14569.6,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2023_Q1,,,,,11566,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2023_Q2,,,,,,11041.95,,,,,,,,,,,Mn Solar And More,MN,14,6026
2023_Q3,,,,,,,3464,,,,,,,,,,Mn Solar And More,MN,14,6026
2023_Q4,,,,,,,,113.8,,,,,,,,,Mn Solar And More,MN,14,6026
