Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
3280,Under The Sun R&S,3,0,NJ,RyanW,20,,,,,,,
1172,"Paradise Energy Solutions, Llc",1,8460,MD,RyanW,20,,,,,,100,
3302,Ohio Power Solutions,1,1154,OH,Guy,20,,,,,,,
3307,Mayer Solar,1,237,IL,Guy,20,,,,,,34,
3344,"San Antonio, Tx (5680)",7,5680,TX,Genki,20,,,,,2,1,
2369,Cod-Dba Green Sun Solar Soluti,1,1987,TX,Genki,20,,,,,,,
2476,Solar C171 Cod Sales Taxable*3,4,0,MA,RyanW,20,,,,,,100,
1946,Smith Electric,1,4984,CT,RyanW,20,,,,,,,
266,Eco Logical Energy Systems,1,1132,VA,RyanW,20,,,,,100,100,
2002,Athens Electric,3,0,OH,Guy,20,,,,,,,
3500,4991578 Greentech United Us Ho,6,0,CO,Genki,20,,,,,,,
3496,Captain Power,1,9106,MD,RyanW,20,,,,,,,
706,Cod Sales Stroudsburg,1,8460,PA,RyanW,20,,,,,,,
3549,Bd Electr& Solar Of The North ,4,0,MA,RyanW,20,,,,,,,
611,Moody Mountain Solar,1,4422,ME,RyanW,20,,,,,,,
3546,Blacklight Solar,1,9106,MD,RyanW,20,,,,,,,
3579,Cod Sales,1,933,VT,RyanW,20,,,,,,,
3572,De La Sol,1,4950,IL,Guy,20,,,,,,,
3561,Sunwatt Solar Llc,1,224,MA,RyanW,20,,,,,,100,
15,Photon Brothers,1,1875,CO,Genki,19,,,,,,1680,
1495,Cod-Empire Refrigeration,1,1987,TX,Genki,18,,,,,,,
3178,"My Smart House, Llc",1,6435,CA,Genki,18,,,,,,100,
2081,Cod Good Energy,1,7605,CA,Genki,18,,,,,,,
3509,Sunforce Solar Llc,1,4029,NM,Genki,18,,,,,,,
495,Cod Account,1,8797,CA,Genki,17,,,,,,,
3182,Land Air Renewables,1,4598,NJ,RyanW,15,,,,,4,6,
3366,Fb Alarms,1,224,MA,RyanW,14,,,,,,42,
2648,Solar Elite,1,5887,NJ,RyanW,13,,,,,,1,
712,G1:3solar,1,5364,OK,Guy,12,,,,,,,
3319,Cowboy Roofing Inc,1,7133,CA,Genki,12,,,,,,,
1837,Superior Solar,1,5887,NJ,RyanW,12,,,,,,,
3306,Mona Lee Inc,1,1875,CO,Genki,12,,,,,,1160,
3060,"Integrate Sun, Llc",1,236,TX,Genki,12,,,,,,24,
567,Cal Sun Electric & Solar Syste,1,7605,CA,Genki,12,,,,,,,
3481,Midday Solar,1,5621,FL,RyanW,11,,,,,,22,
659,Solar Me,1,5887,NJ,RyanW,11,,,,,,,
122,Vanguard Solar Services,1,1875,CO,Genki,10,,,,,,,
3278,"Woodridge, Il (7628)",7,7628,IL,Guy,10,,,,,,,
3326,Bright Sun Energy,1,6640,MO,Guy,10,,,,,,,
3373,Connected Electrical Solutions,1,4560,FL,RyanW,10,,,,,,,
