Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Penguin Home Solutions Inc.,CA,395,6435,1,Genki,,,,,,,,,,,,,,,,,0
"Palmetto Clean Technology, Inc",FL,394,5621,1,RyanW,854.9,1062.4,705.5,323.7,249,,,,,,,,,,,,3195.5
Solar Energy Systems Of Brevar,FL,2255,0,2,RyanW,97.2,291.6,,291.6,,,,,,,,,,,,,680.4
Renu Energy Solutions,SC,400,6058,1,RyanW,332,1328,1328,2365.5,1494,5312,3652,3652,,,,,,,,,19463.5
Lumina Solar,MD,399,9106,1,RyanW,,,,747,5561,,,,,,,,,,,,6308
Hays Electrical,TX,398,3273,1,Genki,332,,2730.7,1826,2415.3,2531.5,2324,249,,,451,,,,,,12859.5
Cost Adjustments,TX,397,1987,1,Genki,,,,,,,,,,,,,,,,,0
Vision Solar,NJ,408,8460,1,RyanW,4150,,,3320,,,,,,,,,,,,,7470
Sunbadger Solar,MN,407,4664,1,Guy,415,3818,,,,,,,,,,,,,,,4233
Sun Up Solar,NH,406,4991,1,RyanW,1162,2988,7968,8549,5478,7304,6723,6640,1245,360.8,,,,,,,48417.8
Rectify Solar,IN,2257,0,2,Guy,2235.6,4568.4,,,,,,,,,,,,,,,6804
Power Home Remodeling Group,AZ,2256,0,2,Genki,97.2,,,,,,,,,,,,,,,,97.2
Midwest Solar Power Llc,WI,403,4407,1,Guy,41.5,,415,,,332,1245,249,,,,,,541.2,,,2823.7
Florida Sun Services,FL,402,5621,1,RyanW,,124.5,332,,,,,,,,,,,,,,456.5
Booth Elec Dba Pure Solar,FL,401,8018,1,RyanW,166,,33.2,,,,,,,,,,,,,,199.2
Solgen Electric,UT,414,6692,1,Genki,121.5,,,,,,,,,,,,,,,,121.5
Solcius Shop,NV,413,4090,1,Genki,1660,,,,,166,,,,,,,,,,,1826
Solar Installations By Marcor,NY,2136,0,2,RyanW,1166.4,3499.2,4374,972,1944,1944,1555.2,,,,,,,,,,15454.8
Nj Solar Power,NJ,2258,0,2,RyanW,,,,,,,,,486,,,,,,,,486
Florida Power Management,FL,410,5621,1,RyanW,,415,2324,332,,,,664,,,,,,,,,3735
816 Solar Pros,MO,409,3584,1,Guy,,332,,1730.55,966.95,332,,,,,,,,,,,3361.5
The Green Panel,MI,2137,0,2,Guy,5346,10692,6026.4,3013.2,6123.6,6123.6,11080.8,5929.2,3693.6,8650.8,6026.4,10303.2,3693.6,2916,,,89618.4
Sun Badger Solar Llc,IL,2259,0,2,Guy,4957.2,38977.2,48114,28674,,,,,,,,,,,,,120722.4
All Energy,MN,416,4664,1,Guy,3848.58,5714.55,6100.5,5847.35,892.25,4905.3,4336.75,5988.45,2241,,,,,,,,39874.73
365 Solar Energy Llc,NC,415,1132,1,RyanW,415,,,83,,,,,,,,,,,,,498
Sunpower Fl,FL,428,5621,1,RyanW,664,996,996,664,1917.3,,,,,,,,,,,,5237.3
Sunpower,NJ,427,4984,1,RyanW,95.45,95.45,,996,996,,,,,,,,,,,,2182.9
Sandbox Solar,CO,426,1875,1,Genki,16.6,41.5,41.5,,4.15,,,,,,,,,,,,103.75
Prepaid Sales,AZ,424,8756,1,Genki,381.8,664,,166,697.2,24.9,,249,,,,,36.08,270.6,,,2489.58
Premier Solar Solutions,NY,2260,0,2,RyanW,583.2,,,,,,,,,,,,,,,,583.2
"Palmetto  Clean Technology, In",NJ,423,5887,1,RyanW,16.6,24.9,,,,,,,,,,,,,,,41.5
Earthlight - Solar Only,CT,422,4984,1,RyanW,,,,,,,,,,,,,,,,,0
Cod/Sunny Mac Llc,DE,421,5887,1,RyanW,103.75,,,,,,,,,,,,,,,,103.75
Capital Sun Group,MD,420,9106,1,RyanW,83,41.5,,,,,,,27.06,,,,,,,,151.56
Blue Raven Solar,NC,419,1875,1,RyanW,,,,,,,,,,,,,,,,,0
