Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,Total
Smart Energy Solar,FL,145,8618,1,Justin,,,,,,,,,
Solar Bear,FL,146,8618,1,Justin,,,,,,,,,
Solcius Llc,WI,147,4950,1,Guy,,,,,,,,,
Sugar Hollow Solar,NC,148,1132,1,Chris,,,,,,,,,
Sundial Solar Services Llc,FL,149,5621,1,Justin,,,,,,,,,
Sunny Mac Llc/Cod,DE,150,5887,1,Chris,,,,,,,,,
Sunpro Okc,OK,151,5364,1,Ken,,,,,,,,,
Dba Solar Kings,TX,152,1987,1,Ken,,,,,,,,,
Empire Solar Solutions,NY,153,1670,1,Chris,,,,,,,,,
Florida Power Services,FL,154,8618,1,Justin,,,,,,,,,
"Kasey Contracting Co, Inc",FL,155,8018,1,Justin,,,,,,,,,
Titan Solar,CO,156,1875,1,Ken,,,,,,,,,
Tron Solar,IL,157,4950,1,Guy,,,,,,,,,
Tron Solar Llc,IN,158,1045,1,Guy,,,,,,,,,
Ced - Albany,NY,159,9106,1,Chris,,,,,,,,,
Ced - Salt Lake City,UT,160,120,1,Rob,,,,,,,,,
Cod Sales,PA,161,5887,1,Chris,,,,,,,,,
Cod-Equisolar,AZ,162,8756,1,Ken,,,,,,,,,
"Cod-Soltech Energy, Llc",TX,163,1987,1,Ken,,,,,,,,,
High Noon Solar,CO,164,2685,1,Ken,,,,,,,,,
Palmetto Solar,NC,165,6058,1,Chris,,,,,,,,,
Powur Pbc,FL,166,8018,1,Justin,,,,,,,,,
Rayah Power Intergration Corp,MA,167,224,1,Chris,,,,,,,,,
Rising Sun,OK,168,3584,1,Ken,,,,,,,,,
Shinnova Solar,MO,169,3584,1,Guy,,,,,,,,,
Smart Energy Solar,TX,170,1987,1,Ken,,,,,,,,,
Solar Source,FL,171,8618,1,Justin,,,,,,,,,
Solcius,AZ,172,8756,1,Ken,,,,,,,,,
Sunblue Energy,NY,173,1670,1,Chris,,,,,,,,,
Sunpro Dba Marc Jones Construction,IL,174,3584,1,Guy,70.8,,,,,,,,
Vector Energy Dba Fusion Power Llc,AZ,175,8756,1,Ken,,,,,,,,,
"Castle Energy, Llc",NJ,176,5887,1,Chris,,,,,,,,,
Ced - Wallingford,CT,177,9106,1,Chris,,,,,,,,,
Ecovole,OK,178,3584,1,Ken,,,,,,,,,
Excel Home Solar Inc,FL,179,8018,1,Justin,,,,,,,,,
Green Brilliance,DC,180,9106,1,Chris,,,,,,,,,
Mclain D.b.a Solarworks Gj,CO,181,2685,1,Ken,,,,,,,,,
Michigan Solar And Roofing Llc,IN,182,1045,1,Guy,,,,,,,,,
Nathan Wood General Contractor,HI,183,9185,1,Rob,,,,,,,,,
New Jersey Clean Energy Solutions,NJ,184,5887,1,Chris,,,,,,,,,
Pm & M Elecric Dba Titan Solar,TX,185,1987,1,Ken,,,,,,,,,
Solar Sme,GA,186,236,1,Justin,,,,,,,,,
