Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Tempo Electric,NV,98,4090,1,Genki,,,,,,,,,,,,,,,,,0
Sunpro,IL,97,4950,1,Guy,,,,,,,,,,,,,,,,,0
Sunflower Solar,TX,96,1987,1,Genki,,,,,,,,,,,,,,,,,0
Summit Solar Solutions Llc,MA,2470,0,4,RyanW,,,,,,,,,,,,,,,,,0
Solarmax,FL,95,8618,1,RyanW,,,,,,,,,,,,,,,,,0
Solarlogix,ME,94,4422,1,RyanW,,,,,,,,,,,,,,,,,0
Solar Specialists Inc,FL,93,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Solar Sme,TX,92,236,1,Genki,,,,,,,,,,,,,,,,,0
Pm&M Electric Dba : Titan Sola,NV,91,4090,1,Genki,,,,,,,,,,,,,,,,,0
Photon Brothers,CA,90,1875,1,Genki,,,,,,,,,,,,,,,,,0
Palmetto Solar Dba Palmetto Cl,FL,89,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Palmetto Solar,MD,88,9106,1,RyanW,,,,,,,,,,,,,,,,,0
Modern Concepts Construction L,FL,87,8018,1,RyanW,,,,,,,,,,,,,,,,,0
"Lumio Hx, Inc.",FL,86,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Lotus Energy & Solar,FL,85,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Efficient Home Services,FL,84,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Cod Sales,FL,83,8018,1,RyanW,,,,,,,,,,,,,,,,,0
American Design & Build Ltd,MD,82,9106,1,RyanW,,,,,,,,,,,,,,,,,0
Vision Solar Llc,NJ,2452,0,4,RyanW,,,,,,,,,,,,,,,,,0
Vision Solar Llc,CT,2455,0,4,RyanW,,,,,,,,,,,,,,,,,0
Sun Talk Solar,CO,109,1875,1,Genki,,,,,,,,,,,,,,,,,0
Solera/ Gardner Solar,MO,108,3584,1,Guy,,,,,,,,,,,,,,,,,0
"Solcius, Llc",CA,107,6435,1,Genki,,,,,,,,,,,,,,,,,0
Solcius,TX,106,1987,1,Genki,,,,,,,,,,,,,,,,,0
Solar Sme,MD,105,236,1,RyanW,,,,,,,,,,,,,,,,,0
Seal Solar,AR,104,4187,1,Guy,,,,,,,,,,,,,,,,,0
Reconnect Clean Energy Llc,CO,103,2685,1,Genki,,,,,,,,,,,,,,,,,0
Meraki Solutions,FL,102,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Lumio Hx Inc.,FL,101,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Cod Sales,NY,100,120,1,RyanW,,,,,,,,,,,,,,,,,0
Vanguard Solar Services,CO,122,1875,1,Genki,,,,,,,,,,,,,,,,,0
Sunrgy/Cod,TX,121,239,1,Genki,,,,,,,,,,,,,,,,,0
Sunpower,NY,120,4984,1,RyanW,,,,,,,,,,,,,,,,,0
Solcius Llc,CO,119,1875,1,Genki,,,,,,,,,,,,,,,,,0
Pine Tree Solar,ME,118,4422,1,RyanW,,,,,,,,,,,,,,,,,0
O3 Home Solar,TX,117,237,1,Genki,,,,,,,,,,,,,,,,,0
New Jersey Sun Tech,NY,116,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Kw Solar Solutions,MD,115,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Hudson River Solar,NY,114,120,1,RyanW,,,,,,,,,,,,,,,,,0
"Greenready, Llc",FL,113,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Devlin Contracting & Maintenan,MA,112,224,1,RyanW,,,,,,,,,,,,,,,,,0
Cod Sales,NJ,111,5887,1,RyanW,,,,,,,,,,,,,,,,,0
