P_N,N,Category,Lot,Price_ea,Description_Original,Description_clean,Description
RT3-02-UM-BK,1,APEX,12,$9.24,RT-APEX Middle Clamp Universal Height (PV Frame H32-40mm) 12 ea./BOX,RT-APEX Middle Clamp Universal Height (PV Frame H32-40mm) 12 ea/box,rt apex middle clamp universal height pv frame h32 40mm 12 ea box
RT3-02-UM-BK-01,,APEX,12,$9.24,RT-APEX Middle Clamp Universal Height (PV Frame H32-40mm) 12 ea./BOX,RT-APEX Middle Clamp Universal Height (PV Frame H32-40mm) 12 ea/box,rt apex middle clamp universal height pv frame h32 40mm 12 ea box
RT3-02-UM-BK-20,,APEX,12,$9.24,RT-APEX Middle Clamp Universal Height (PV Frame H32-40mm) 12 ea./BOX,RT-APEX Middle Clamp Universal Height (PV Frame H32-40mm) 12 ea/box,rt apex middle clamp universal height pv frame h32 40mm 12 ea box
RT3-02-UMFS30,1,APEX,16,$9.24,RT-APEX Middle Floating Splice Universal Height (PV Frame H30-40mm) 16 ea./BOX,RT-APEX Middle Floating Splice Universal Height (PV Frame H30-40mm) 16 ea/box,rt apex middle floating splice universal height pv frame h30 40mm 16 ea box
RT3-02-UMFS30-01,,APEX,16,$9.24,RT-APEX Middle Floating Splice Universal Height (PV Frame H30-40mm) 16 ea./BOX,RT-APEX Middle Floating Splice Universal Height (PV Frame H30-40mm) 16 ea/box,rt apex middle floating splice universal height pv frame h30 40mm 16 ea box
RT3-02-UMFSBK,1,APEX,12,$9.24,RT-APEX Middle Floating Splice Universal Height (PV Frame H32-40mm) 16 ea./BOX,RT-APEX Middle Floating Splice Universal Height (PV Frame H32-40mm) 16 ea/box,rt apex middle floating splice universal height pv frame h32 40mm 16 ea box
RT3-02-UMFSBK-01,,APEX,12,$9.24,RT-APEX Middle Floating Splice Universal Height (PV Frame H32-40mm) 16 ea./BOX,RT-APEX Middle Floating Splice Universal Height (PV Frame H32-40mm) 16 ea/box,rt apex middle floating splice universal height pv frame h32 40mm 16 ea box
RT3-02-UMS30,1,APEX,12,$15.31,RT-APEX Middle Clamp Splice Universal Height (PV Frame H30-40mm)12 ea./BOX,RT-APEX Middle Clamp Splice Universal Height (PV Frame H30-40mm)12 ea/box,rt apex middle clamp splice universal height pv frame h30 40mm 12 ea box
RT3-02-UMS30-01,,APEX,12,$15.31,RT-APEX Middle Clamp Splice Universal Height (PV Frame H30-40mm)12 ea./BOX,RT-APEX Middle Clamp Splice Universal Height (PV Frame H30-40mm)12 ea/box,rt apex middle clamp splice universal height pv frame h30 40mm 12 ea box
RT3-02-UMSBK,,APEX,12,$15.31,RT-APEX Middle Clamp Splice Universal Height (PV Frame H32-40mm) 12 ea./BOX,RT-APEX Middle Clamp Splice Universal Height (PV Frame H32-40mm) 12 ea/box,rt apex middle clamp splice universal height pv frame h32 40mm 12 ea box
